id,code,descripcion,similar
7684,40182603,Tubo de remate final de latón extruida,
7685,40182604,Tubo multipuerto de latón extruida,
7686,40182605,Tubo biselado de latón extruida,
7687,40182606,Ensamblaje de tubos de latón extruida,
7688,40182700,Tubos de aluminio extruidos,
7689,40182701,Tubo doblado de aluminio extruido,Tubo curvado de aluminio extruido
7690,40182702,Tubo perforado de aluminio extruido,Tubo agujerado de aluminio extruido
7691,40182703,Tubo de remate final de aluminio extruido,
7692,40182704,Tubo multipuerto de aluminio extruido,
7693,40182705,Tubo biselado de aluminio extruido,
7694,40182706,Ensamblaje de tubos de aluminio extruido,
7695,40182707,Tubería cubierta de aluminio extruido,
7696,40182800,Tubos de acero extruidos,
7697,40182801,Tubo doblado de acero extruido,Tubo curvado de acero extruido
7698,40182802,Tubo perforado de acero extruido,Tubo agujerado de acero extruido
7699,40182803,Tubo de remate final de acero extruido,
7700,40182804,Tubo multipuerto de acero extruido,
7701,40182805,Tubo biselado de acero extruido,
7702,40182806,Ensamblaje de tubos de acero extruido,
7703,40182900,Tubos de acero inoxidable extruidos,
7704,40182901,Tubo doblado de acero inoxidable extruido,Tubo curvado de acero inoxidable extruido
7705,40182902,Tubo perforado de acero inoxidable extruido,Tubo agujerado de acero inoxidable extruido
7706,40182903,Tubo de remate final de acero inoxidable extruido,
7707,40182904,Tubo multipuerto de acero inoxidable extruido,
7708,40182905,Tubo biselado de acero inoxidable extruido,
7709,40182906,Ensamblaje de tubos de acero inoxidable extruido,
7710,40183000,Tuberías de caucho y plástico,
7711,40183001,Tubería de caucho,
7712,40183002,Tubería de plástico pvc,
7713,40183003,Tubería de plástico cpvc,
7714,40183004,Tubería de plástico hdpe,
7715,40183005,Tubería de caucho de baja presión,
7716,40183006,Tubería termo contraíble,
7717,40183007,Tubería de espuma de caucho,
7718,40183008,Tubería de poliuretano pur,
7719,40183009,Tubería de manga trenzada,
7720,40183010,Tubería de alta presión con ensamblaje,
7721,40183100,Accesorios de tubos,
7722,40183101,Codo de tubo,
7723,40183102,“t” de tubo,Tubo en T
7724,40183103,Unión de tubo,
7725,40183104,Tapón de tubo,
7726,40183105,Boquilla de tubo,
7727,40183106,Pistón de tubo,
7728,40183107,Acople de tubo,
7729,40183108,Casquillo de tubo,
7730,40183109,Adaptador de tubo,
7731,40183110,Conector de tubo,
7732,40183111,Cruz de tubo,Tubo en cruz
7733,40183112,Reductor de tubo,
7734,41101500,"Equipo y suministros para la mezcla, la dispersión y la homogeneización en laboratorio",
7735,41101502,Bolsas “stomachers”,Homogeneizador con palas o bolsas para laboratorio
7736,41101503,Rociadores de laboratorio,Pulverizadores de laboratorio
7737,41101504,Homogeneizadores,
7738,41101505,Celdas de presión francesas,Homogeneizador celular por presión (prensa francesa)
7739,41101515,Latas medidoras de líquido,Bidones
7740,41101516,Homogeneizadores dobles,Homogeneizador de tejidos
7741,41101518,Mezcladores o emulsificadores de laboratorio,
7742,41101700,"Equipo de perforación, amoladura, corte, trituración y prensado para laboratorio",
7743,41101701,Molinos de laboratorio,Molinos para laboratorio
7744,41101702,Pilones y morteros,
7745,41101703,Moledoras de tejidos,Homogeneizador para muestras pequeñas
7746,41101705,Trituradoras o pulverizadoras de laboratorio,
7747,41101706,Desintegradores de laboratorio,
7748,41101707,Prensas de laboratorio,
7749,41101708,Esmeriladora o pulidora de laboratorio,
7750,41101709,Mezcladora de asfalto y concreto de laboratorio,Mezclador de laboratorio para asfalto y concreto (hormigón)
7751,41101800,Equipo de física de electrones y de estado sólido para laboratorio,
7752,41101801,Pistolas de electrones,
7753,41101802,Generadores de rayos x,
7754,41101803,Coulómetros,
7755,41101804,Electroscopios,
7756,41101805,Flujómetros,
7757,41101806,Magnetómetros,
7758,41101807,Aparatos de difracción de electrones,
7759,41101808,Aparatos de difracción de neutrones,
7760,41101809,Aparatos de difracción óptica,
7761,41101810,Difractómetros,
7762,41101811,Micro analizador de sondeo de electrones por rayos x,
7763,41101812,Acelerador de partículas,
7764,41101813,Controlador de equipos de rayos x de laboratorio,
7765,41101900,Equipo iónico de laboratorio,
7766,41101901,Fuentes de iones,
7767,41101902,Aparatos de intercambio de iones,
7768,41101903,Equipos de implantación de iones,
7769,41102400,Equipo de calefacción y secadores para laboratorio,
7770,41102401,Quemadores de gas,Mecheros de gas
7771,41102402,Quemadores de alcohol,Mecheros de alcohol
7772,41102403,Incineradores de laboratorio,
7773,41102404,Calentadores de laboratorio,
7774,41102405,Revestimientos o cintas calentadoras,
7775,41102406,Hornillas eléctricas de laboratorio,
7776,41102407,Gabinetes calentadores,
7777,41102410,Secadoras infrarrojas,
7778,41102412,Secadores de aire caliente,
7779,41102421,Cámaras de reciclaje de temperatura o recicladores térmicos,"Cámara de ciclos de temperatura, Termocicladores"
7780,41102422,Baños secos o bloques calentadores,
7781,41102423,Hornillas eléctricas agitadoras,
7782,41102424,Calentadores de deslizamiento,Calentadores de muestras
7783,41102425,Secadores de deslizamiento,Secador de muestras
7784,41102426,Equipos o accesorios para calentar o secar,
7785,41102427,Torre secadora,
7786,41102428,Papel altamente absorbente,
7787,41102429,Sellador por calor de unidades de tubos de muestras de sangre,
7788,41102500,Equipo entomológico para laboratorio y accesorios,
7789,41102501,Contenedores de insectos para laboratorio,
7790,41102502,Instalaciones de crianza para entomología,
7791,41102503,Textiles o redes para entomología,
7792,41102504,Equipo de entomología para clavar especímenes,
7793,41102505,Materiales de ensamblaje para entomología,
7794,41102506,Bandejas de entomología,
7795,41102507,Equipo para recolectar especímenes de entomología,
7796,41102508,Aspiradoras para entomología,
7797,41102509,Cucharones para entomología,
7798,41102510,Mono copas para entomología,
7799,41102511,Trampas pegajosas para entomología,
7800,41102512,Kits de pruebas para insectos,
7801,41102513,Unidades de despliegue para entomología,
7802,41102600,Equipo y accesorios para laboratorio animal,
7803,41102601,Jaulas para animales pequeños para laboratorio,
7804,41102602,Equipo de acuarios,
7805,41102603,Suministros para identificación de animales,
7806,41102604,Dispositivos para atrapar animales,
7807,41102605,Sistemas de aireación de peces,
7808,41102606,Restricciones o arneses para animales para laboratorio,
7809,41102607,Agujas para alimentar animales,
7810,41102608,Equipos para pruebas de animales,
7811,41102609,Pistola anestésica,
7812,41102700,Equipo de cristalografía,
7813,41102701,Modelos de enrejados de cristal,
7814,41102702,Ensamblajes de cristales centellantes,
7815,41102703,Equipo de dispersión de luz,
7816,41102704,Equipo de difracción de rayos x,
7817,41102705,Cristalizadores,
7818,41102706,Equipo de crecimiento de cristal,
7819,41102900,Equipo de histología,
7820,41102901,Estaciones de incrustación de tejidos,
7821,41102902,Moldes de incrustación,
7822,41102903,Cápsulas de incrustación,
7823,41102904,Compuestos de incrustación,
7824,41102905,Aparatos de teñido histológico,
7825,41102909,Procesadores de tejidos,
7826,41102910,Aparatos de cultivo de tejidos,
